module	name	class	n_steps	pC3_alone	rest_of_genome	whole_genome	pC3_unique_complete	pC3_raises_completeness
M00095	C5 isoprenoid biosynthesis, mevalonate pathway	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	7	0.0000	0.0000	0.0000	0	0
M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	8	0.0000	0.5000	0.5000	0	0
M00097	Lycopene biosynthesis, geranylgeranyl-PP => lycopene	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid biosynthesis	2	0.0000	0.0000	0.0000	0	0
M00098	Acylglycerol degradation	Pathway modules; Lipid metabolism; Lipid metabolism	2	0.0000	0.5000	0.5000	0	0
M00099	Sphingosine biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism	5	0.0000	0.0000	0.0000	0	0
M00100	Sphingosine degradation	Pathway modules; Lipid metabolism; Lipid metabolism	2	0.0000	0.0000	0.0000	0	0
M00101	Cholesterol biosynthesis, FPP => cholesterol	Pathway modules; Lipid metabolism; Sterol biosynthesis	12	0.0000	0.0000	0.0000	0	0
M00102	Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol	Pathway modules; Lipid metabolism; Sterol biosynthesis	13	0.0000	0.0000	0.0000	0	0
M00103	Cholecalciferol biosynthesis	Pathway modules; Lipid metabolism; Sterol biosynthesis	2	0.0000	0.0000	0.0000	0	0
M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	Pathway modules; Lipid metabolism; Sterol biosynthesis	12	0.0000	0.0833	0.0833	0	0
M00106	Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate	Pathway modules; Lipid metabolism; Sterol biosynthesis	2	0.0000	0.0000	0.0000	0	0
M00107	Steroid hormone biosynthesis, cholesterol => pregnenolone => progesterone	Pathway modules; Lipid metabolism; Sterol biosynthesis	2	0.0000	0.0000	0.0000	0	0
M00108	C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone	Pathway modules; Lipid metabolism; Sterol biosynthesis	3	0.0000	0.0000	0.0000	0	0
M00109	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	Pathway modules; Lipid metabolism; Sterol biosynthesis	4	0.0000	0.0000	0.0000	0	0
M00110	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone	Pathway modules; Lipid metabolism; Sterol biosynthesis	3	0.0000	0.0000	0.0000	0	0
M00112	Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	4	0.0000	0.0000	0.0000	0	0
M00113	Jasmonic acid biosynthesis	Pathway modules; Lipid metabolism; Lipid metabolism	8	0.0000	0.0000	0.0000	0	0
M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	8	0.0000	0.0000	0.0000	0	0
M00115	NAD biosynthesis, aspartate => quinolinate => NAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	5	0.0000	0.4000	0.4000	0	0
M00116	Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	9	0.0000	0.0000	0.0000	0	0
M00117	Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	8	0.0000	0.3750	0.3750	0	0
M00118	Glutathione biosynthesis, glutamate => glutathione	Pathway modules; Amino acid metabolism; Other amino acid metabolism	2	0.0000	0.5000	0.5000	0	0
M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	5	0.0000	0.8000	0.8000	0	0
M00120	Coenzyme A biosynthesis, pantothenate => CoA	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	3	0.0000	0.6667	0.6667	0	0
M00121	Heme biosynthesis, plants and bacteria, glutamate => heme	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	10	0.0000	0.7000	0.7000	0	0
M00122	Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	7	0.0000	0.7143	0.7143	0	0
M00123	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	3	0.0000	0.6667	0.6667	0	0
M00124	Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	6	0.0000	0.3333	0.3333	0	0
M00125	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	7	0.0000	0.8571	0.8571	0	0
M00126	Tetrahydrofolate biosynthesis, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	5	0.0000	0.4000	0.4000	0	0
M00127	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	7	0.0000	0.2857	0.2857	0	0
M00128	Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinone	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	8	0.0000	0.0000	0.0000	0	0
M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	7	0.1429	0.2857	0.2857	0	0
M00130	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	4	0.0000	0.0000	0.0000	0	0
M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	4	0.0000	0.0000	0.0000	0	0
M00132	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	3	0.0000	0.0000	0.0000	0	0
M00133	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	4	0.0000	0.2500	0.2500	0	0
M00134	Polyamine biosynthesis, arginine => ornithine => putrescine	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	2	0.0000	0.0000	0.0000	0	0
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	3	0.0000	0.0000	0.0000	0	0
M00136	GABA biosynthesis, prokaryotes, putrescine => GABA	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	4	0.2500	0.2500	0.2500	0	0
M00137	Flavanone biosynthesis, phenylalanine => naringenin	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds	5	0.0000	0.0000	0.0000	0	0
M00138	Flavonoid biosynthesis, naringenin => pelargonidin	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds	3	0.0000	0.0000	0.0000	0	0
M00140	C1-unit interconversion, prokaryotes	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	3	0.0000	0.3333	0.3333	0	0
M00141	C1-unit interconversion, eukaryotes	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	2	0.0000	0.5000	0.5000	0	0
M00142	NADH:ubiquinone oxidoreductase, mitochondria	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	0.0000	0	0
M00143	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	Pathway modules; Energy metabolism; ATP synthesis	1	0.0000	0.0000	0.0000	0	0
