accession	organism_name	host_category	evidence	raw_host	raw_isolation_source	raw_host_disease	geo_loc_name
GCF_000439695.1	Burkholderia pseudomallei MSHR305	human_clinical	host=homo sapiens	Homo sapiens	autopsy brain sample		Australia: Northern Territory
GCF_000494855.1	Burkholderia pseudomallei NCTC 13179	human_clinical	host=homo sapiens	Homo sapiens	skin ulcer		Australia
GCF_000511895.1	Burkholderia pseudomallei NCTC 13178	human_clinical	host=homo sapiens	Homo sapiens	post mortem brain	missing	Australia
GCF_000511915.1	Burkholderia pseudomallei NAU20B-16	soil	isolation_source=soil	missing	soil	missing	Australia
GCF_000520895.1	Burkholderia pseudomallei MSHR511	animal	host=goat	goat	throat	missing	Australia
GCF_000521645.1	Burkholderia pseudomallei MSHR146	animal	host=goat	goat	right udder	missing	Australia
GCF_000522545.2	Paraburkholderia caribensis MBA4	soil	isolation_source=soil	missing	soil	missing	Thailand
GCF_000567905.1	Burkholderia thailandensis H0587	human_clinical	host=homo sapiens	Homo sapiens	pleural wound		USA: LA
GCF_000567925.1	Burkholderia thailandensis 2002721723	human_clinical	host=homo sapiens	Homo sapiens			
GCF_000567945.1	Burkholderia thailandensis E444	soil	isolation_source=soil		soil		Thailand
GCF_000583835.1	Burkholderia pseudomallei MSHR520	human_clinical	host=homo sapiens	Homo sapiens	blood		Australia
GCF_000701165.1	Burkholderia cepacia JBK9	soil	isolation_source=garlic farming soil		garlic farming soil		South Korea: Gyeongsangbuk-do
GCF_000705535.2	Burkholderia seminalis	unknown	no usable metadata		surface-sterilized vetiver roots		Taiwan: Taichung
GCF_000706745.1	Burkholderia thailandensis USAMRU Malaysia #20	unknown	no usable metadata		unknown		Malaysia
GCF_000755725.1	Burkholderia cenocepacia	environmental_other	isolation_source=aerosol sample		Aerosol sample		Australia
GCF_000755765.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	brain		Australia: Darwin, Northern Territory
GCF_000755785.1	Burkholderia mallei	human_clinical	host=homo sapiens	Homo sapiens	laboratory acquired infection		Myanmar
