accession	organism_name	host_category	evidence	raw_host	raw_isolation_source	raw_host_disease	geo_loc_name
GCF_026651975.1	Burkholderia glumae	plant	isolation_source=broken rice		broken rice		South Korea: Yeoncheon-gun, Gyeonggi-do
GCF_026651995.1	Burkholderia glumae	plant	isolation_source=broken rice		broken rice		South Korea: Icheon, Gyeonggi province
GCF_026652015.1	Burkholderia glumae	plant	isolation_source=broken rice		broken rice		South Korea: Sancheong district, Gyeongsang province
GCF_026683835.2	Burkholderia ambifaria	human_clinical	host=homo sapiens	Homo sapiens			Canada
GCF_026683855.2	Burkholderia ambifaria	human_clinical	host=human cf	Human CF			Canada
GCF_026683875.2	Burkholderia ambifaria	unknown	no usable metadata	NA			Canada
GCF_026958255.1	Burkholderia ambifaria	rhizosphere	isolation_source=peanut rhizospheric soil		peanut rhizospheric soil		Argentina: Rio Cuarto
GCF_028201395.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	unknown	melioidosis	Malaysia
GCF_028462305.2	Burkholderia cepacia	human_clinical	host_disease=cystic fibrosis	Homo sapiens	sputum	Cystic fibrosis	Russia:Moscow
GCF_028473685.1	Paraburkholderia bryophila	water	isolation_source=mat on a water body surface in quartzite imawari yeuta cave		Mat on a water body surface in quartzite Imawari Yeuta cave		Venezuela: Auyan Tepui
GCF_028657905.1	Burkholderia sp. FERM BP-3421	soil	isolation_source=soil sample		soil sample		Japan
GCF_029536165.1	Paraburkholderia sp. SUR17	plant	host=sugarcane	sugarcane			China: Fujian
GCF_029590335.1	Burkholderia contaminans	human_clinical	host=homo sapiens	Homo sapiens			Australia: Victoria
GCF_029633645.1	Burkholderia contaminans	human_clinical	host_disease=cystic fibrosis	Homo sapiens	sputum	Cystic Fibrosis	Argentina: Buenos Aires
GCF_029633805.1	Burkholderia contaminans	industrial	isolation_source=pharmaceutical solution		pharmaceutical solution		Argentina: Buenos AIres
GCF_029633825.1	Burkholderia contaminans	human_clinical	host_disease=mastitis	sheep	milk	mastitis	Spain
GCF_029910195.1	Burkholderia sp. JSH-S8	soil	env_medium=soil	Tetrastigma hemsleyanum Diels et Gilg			China: Jiangxi Province
GCF_029910215.1	Paraburkholderia sp. D15	plant	host=lichen	lichen			China: Jiangxi Province
GCF_029962485.1	Burkholderia cepacia	insect	host=plectrocnemia	Plectrocnemia	Intestinal tract		China:Shiwanda Mountain in Guangxi Province
GCF_030078435.1	Burkholderia vietnamiensis	human_clinical	host_disease=cystic fibrosis	Homo sapiens	sputum	Cystic Fibrosis	Sweden
GCF_030297195.1	Burkholderia pseudomallei	unknown	no usable metadata		Monkey		Singapore
GCF_030297215.1	Burkholderia pseudomallei	unknown	no usable metadata				not applicable
GCF_030297235.1	Burkholderia pseudomallei	animal	host=rattus norvegicus	Rattus norvegicus			not applicable
GCF_030297255.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens			USA
GCF_030297275.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens			Japan
GCF_030297295.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens			Japan
GCF_030297315.1	Burkholderia pseudomallei	unknown	no usable metadata				not applicable
GCF_030297335.1	Burkholderia pseudomallei	unknown	no usable metadata				not applicable
GCF_030297355.1	Burkholderia pseudomallei	unknown	no usable metadata				not applicable
GCF_030316055.1	Paraburkholderia bonniea	amoeba_protist	host=dictyostelium discoideum	Dictyostelium discoideum			USA: Virginia
GCF_030316075.1	Paraburkholderia bonniea	amoeba_protist	host=dictyostelium discoideum	Dictyostelium discoideum			USA: Virginia
GCF_030374675.1	Burkholderia anthina	rhizosphere	isolation_source=rhizosphere and root exudates	Sorghum bicolor	rhizosphere and root exudates		USA: California, Parlier, Kearney Agricultural Research and Extension Center (KARE)
GCF_030412785.1	Paraburkholderia sabiae	plant	host=mimosa caesalpiniifolia	Mimosa caesalpiniifolia	root nodule		Brazil
GCF_030505635.1	Burkholderia glumae	plant	host=oryza sativa	Oryza sativa			Bangladesh: Natore
GCF_030644525.1	Burkholderia plantarii	plant	host=oryza sativa	Oryza sativa			South Korea
GCF_030848725.1	Burkholderia dolosa	human_clinical	host=homo sapiens	Homo sapiens	Bronchial fluid	Stroke	Viet Nam
GCF_031356765.1	Paraburkholderia phenoliruptrix	soil	isolation_source=soil		soil		South Korea
GCF_031585635.1	Paraburkholderia sp. FT54	rhizosphere	isolation_source=rhizosphere soil of tomato		Rhizosphere soil of Tomato		South Korea: Busan
GCF_032806925.1	Paraburkholderia kirstenboschensis	soil	isolation_source=burned soil (forest)		burned soil (forest)		USA: Blodgett Forest Research Station, California
GCF_033391855.2	Paraburkholderia terrae	soil	env_medium=unvegetated sediment				Chile: Calbuco Volcano
GCF_033675275.1	Burkholderia thailandensis	soil	isolation_source=soil	not applicable	soil		Thailand
GCF_033675305.1	Burkholderia thailandensis	soil	isolation_source=soil	not applicable	soil		Thailand
GCF_033675325.1	Burkholderia cepacia	human_clinical	host=homo sapiens	Homo sapiens	sputum		Thailand
GCF_033870355.1	Burkholderia mallei	animal	host=equus caballus	Equus caballus	horse	Glanders	Yugoslavia
GCF_033870375.1	Burkholderia mallei	animal	host=equus caballus	Equus caballus	horse	Glanders	India
GCF_033870395.1	Burkholderia mallei	animal	host=equus caballus	Equus caballus	horse	Glanders	Indonesia
GCF_033956065.1	Burkholderia mallei	human_clinical	host=homo sapiens	Homo sapiens	human	Glanders	Myanmar
GCF_034047095.1	Robbsia andropogonis	plant	env_medium=leaf spot disease samples	Areca catechu			China: Haikou
GCF_034424375.1	Paraburkholderia kururiensis	industrial	env_medium=manufactured product [envo:00003074]				Finland
GCF_034424545.1	Trinickia caryophylli	plant	env_local=plant-associated environment [envo:01001001]				USA
GCF_035621555.1	Burkholderia thailandensis	human_clinical	host=homo sapiens	Homo sapiens			China:Sichuan
GCF_036352035.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens	bronchoalveolar lavage	NA	USA
GCF_036362805.1	Burkholderia multivorans	human_clinical	host=homo sapiens	Homo sapiens			Viet Nam
GCF_036837415.1	Burkholderia gladioli	plant	host=oryza sativa	Oryza sativa			South Korea
GCF_036839165.1	Burkholderia gladioli	plant	host=oryza sativa	Oryza sativa			South Korea
GCF_037055255.1	Burkholderia pyrrocinia	soil	env_medium=soil				South Korea
GCF_037101255.1	Paraburkholderia sp. 22B1P	soil	env_medium=soil				Japan:Shizuoka, Shizuoka
GCF_037101275.1	Burkholderia contaminans	soil	isolation_source=soil		soil		Japan:Tokyo
GCF_037477895.1	Mycetohabitans endofungorum	fungus	host=rhizopus microsporus	Rhizopus microsporus	soil		Ukraine
GCF_037477905.1	Mycetohabitans endofungorum	fungus	host=rhizopus microsporus	Rhizopus microsporus	forest soil		Georgia
GCF_037478035.1	Mycetohabitans endofungorum	fungus	host=rhizopus microsporus	Rhizopus microsporus	corn		USA
GCF_037478045.1	Mycetohabitans rhizoxinica	fungus	host=rhizopus microsporus	Rhizopus microsporus	Rabbit dung		USA
GCF_037478055.1	Mycetohabitans rhizoxinica	fungus	host=rhizopus microsporus	Rhizopus microsporus	soil		Philippines
GCF_037478065.1	Mycetohabitans rhizoxinica	fungus	host=rhizopus microsporus	Rhizopus microsporus	unknown		USA
GCF_037478075.1	Mycetohabitans endofungorum	fungus	host=rhizopus microsporus	Rhizopus microsporus	ground nuts		Mozambique
GCF_037478085.1	Mycetohabitans endofungorum	fungus	host=rhizopus microsporus	Rhizopus microsporus	rice wine tablet		Viet Nam
GCF_038050405.1	Paraburkholderia sp. IMGN_8	soil	isolation_source=soil		soil		South Korea: Gyeonggi-Do
GCF_038452255.1	Burkholderia pyrrocinia	soil	env_medium=tobacco soil				China:Guangdong
GCF_038723655.1	Burkholderia arboris	soil	isolation_source=soil	Panax notoginseng	soil		China:Wenshan
GCF_038782865.1	Burkholderia ambifaria	unknown	no usable metadata	Atractylodes lancea			China: Liaoyang
GCF_038983115.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	urine	Melioidosis	Thailand: Bangkok
GCF_038983225.1	Burkholderia pseudomallei	human_clinical	host_disease=melioidosis	Homo sapiens	urine	Melioidosis	Thailand: Bangkok
GCF_039621805.1	Paraburkholderia sp. PREW-6R	unknown	no usable metadata		Phlox subulata		South Korea: Jinan-gun, Jeollabuk-do
GCF_039728355.1	Burkholderia cenocepacia	human_clinical	isolation_source=sputum		sputum		China:Jinan
GCF_039848545.1	Burkholderia stagnalis	unknown	no usable metadata		soils collected in Guangdong Province, China		China: Guangdong province
GCF_039852015.1	Robbsia sp. KACC 23696	plant	isolation_source=flower	Coreopsis lanceolata L.	flower		South Korea: Suncheon-si, Jeollanam-do
GCF_040215475.1	Burkholderia contaminans	plant	host=pelargonium graveolens	Pelargonium graveolens			Brazil: Brasilia
GCF_040314805.1	Trinickia caryophylli	plant	env_medium=plant	Carnation			Missing
GCF_040361905.1	Paraburkholderia terrae	soil	isolation_source=agricultural soil		agricultural soil		Japan:Osaka
GCF_040735455.1	Burkholderia semiarida	human_clinical	host=homo sapiens	Homo sapiens			China: Haikou, Hainan
GCF_040761425.1	Burkholderia sp. Ed8	plant	host=rice	Rice	leaves		Malaysia: Selangor
GCF_041070875.1	Burkholderia cepacia	soil	isolation_source=soil		soil		South Korea:Jeonju
GCF_041205585.2	Burkholderia cenocepacia	human_clinical	host_disease=cystic fibrosis	Homo sapiens	sputum from cystic fibrosis patient	Cystic Fibrosis	Russia: Moscow
GCF_042604585.1	Burkholderia gladioli	human_clinical	isolation_source=clinical		clinical		USA
GCF_042604595.1	Burkholderia gladioli	human_clinical	isolation_source=clinical, sputum		Clinical, sputum		USA
GCF_043193125.1	Burkholderia ambifaria	soil	isolation_source=environmental, soil		Environmental, soil		USA
GCF_044057485.1	Burkholderia contaminans	plant	isolation_source=pericarpium citri reticulatae 'chachiensis'		Pericarpium Citri Reticulatae 'Chachiensis'		China: Guangzhou
GCF_044501195.1	Burkholderia anthina	soil	host=soil	Soil			Netherlands
GCF_045345775.1	Burkholderia semiarida	human_clinical	host=homo sapiens	Homo sapiens			China:Sanya, Hainan
GCF_045348565.1	Paraburkholderia fungorum	unknown	no usable metadata		Moso bamboo		China
GCF_045862465.1	Burkholderia gladioli pv. gladioli	plant	host=gladiolus	Gladiolus			Japan:Shizuoka, Minami-Izu
GCF_045925845.1	Burkholderia pyrrocinia	plant	host=cinnamomum camphora	Cinnamomum camphora			China: Nanchang
GCF_046773525.1	Burkholderia cepacia	rhizosphere	isolation_source=the rhizosphere soil of moso		The rhizosphere soil of Moso		China:hangzhou
GCF_047127275.1	Burkholderia lata	unknown	no usable metadata	Arachis hypogaea			Brazil: Jaboticabal, Sao Paulo State
GCF_047325075.1	Paraburkholderia phenoliruptrix	plant	host=triticum aestivum cv. catawba	Triticum aestivum cv. Catawba	roots		USA: NCSU Phytotron, Raleigh, NC
GCF_047497155.1	Burkholderia sp. 22PA0106	plant	host=allium cepa	Allium cepa	Agricultural field		USA: Pennsylvania
GCF_047497165.1	Burkholderia sp. 22PA0099	plant	host=allium cepa	Allium cepa	Agricultural field		USA: Pennsylvania
GCF_047902435.1	Burkholderia cepacia	industrial	isolation_source=activated sludge		activated sludge		China: Macau
GCF_048565175.1	Burkholderia gladioli	plant	isolation_source=plant		Plant		China:Guizhou
GCF_048565265.1	Burkholderia theae	soil	isolation_source=soil		soil		Taiwan: Xitou
GCF_048627025.1	Burkholderia aenigmatica	human_clinical	isolation_source=wet tissue		wet tissue		China:Guangdong
GCF_048688115.1	Burkholderia thailandensis	human_clinical	host=homo sapiens	Homo sapiens			China: Haikou, Hainan
GCF_048917655.1	Burkholderia gladioli	plant	host=rice	rice			Viet Nam: Long An province
GCF_048917665.1	Burkholderia gladioli	plant	host=rice	rice			Viet Nam: Hau Giang province
GCF_048917685.1	Burkholderia gladioli	plant	host=rice	rice			Viet Nam: Hau Giang province
GCF_049177125.1	Paraburkholderia sp. DD10	soil	env_medium=soil		Hyphosphere of Rhizophagus irregularis found in the meadow		France: Sorede
GCF_049487195.1	Burkholderia sp. NLJ2	soil	isolation_source=soil		soil		China
GCF_049913365.1	Burkholderia ambifaria	rhizosphere	isolation_source=maize rhizosphere		maize rhizosphere		USA: Iowa State University Marsden Farm, Boone, Co., Iowa
GCF_049942845.1	Burkholderia sp. R-40	rhizosphere	isolation_source=maize rhizosphere		maize rhizosphere		USA: Iowa State University Marsden Farm, Boone, Co., Iowa
GCF_050320195.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	Melioidosis patient - Sputum		Thailand: Ubon Ratchathani
GCF_050430075.1	Robbsia andropogonis	unknown	no usable metadata	Pueraria montana var. thomsonii			China: Guangdong
GCF_050500075.1	Paraburkholderia tropica	unknown	no usable metadata		soils where Camelina sativa is grown		USA: Sidney, Montana
GCF_050613125.1	Burkholderia gladioli	soil	isolation_source=soil		soil		China: Shandong
GCF_050613135.1	Burkholderia cepacia	rhizosphere	isolation_source=casuarina rhizosphere soil samples		Casuarina rhizosphere soil samples		China: YangJiang
GCF_050627075.1	Paraburkholderia fungorum	plant	env_medium=root tissue	Pisum sativum L.			France
GCF_050627395.1	Paraburkholderia fungorum	plant	env_medium=root tissue	Pisum sativum L.			France
GCF_050632305.1	Burkholderia contaminans	human_clinical	host=homo sapiens	Homo sapiens	blood culture	missing	Sierra Leone: Masanga
GCF_050632315.1	Burkholderia contaminans	human_clinical	host=homo sapiens	Homo sapiens	blood culture	missing	Sierra Leone: Masanga
GCF_050632325.1	Burkholderia cepacia	human_clinical	host=homo sapiens	Homo sapiens	swab	missing	Sierra Leone: Masanga
GCF_050632335.1	Burkholderia contaminans	human_clinical	host=homo sapiens	Homo sapiens	blood culture	missing	Sierra Leone: Masanga
GCF_050632345.1	Burkholderia contaminans	human_clinical	host=homo sapiens	Homo sapiens	blood culture	missing	Sierra Leone: Masanga
GCF_050632355.1	Burkholderia cepacia	human_clinical	host=homo sapiens	Homo sapiens	blood culture	missing	Sierra Leone: Masanga
GCF_050813845.1	Burkholderia sp. F1	soil	env_medium=top soil		Imbak Canyon Conservation Area		Malaysia: Sabah
GCF_050858985.1	Burkholderia sp. M6-3	unknown	no usable metadata; accession updated GCA_050858985.1 -> GCF_050858985.1 (same BioSample)	not collected	acid upland red soils		China: Jiangxi
GCF_050920555.1	Burkholderia gladioli pv. alliicola	plant	isolation_source=onion seeds		onion seeds		France
GCF_050955445.1	Paraburkholderia sp. RHO2	soil	host=soil; accession updated GCA_050955445.1 -> GCF_050955445.1 (same BioSample)	soil			China:Nanjing
GCF_050990585.1	Paraburkholderia phenoliruptrix	soil	host=soil	soil			China:Nanjing
GCF_050990595.1	Paraburkholderia sacchari	soil	isolation_source=soil	missing	soil		China:Nanjing
GCF_051027425.1	Paraburkholderia caffeinilytica	plant	host=chinese fir	Chinese fir	root		China:Fujian
GCF_051124805.1	Paraburkholderia sp. A3RO-2L	soil	env_medium=top soil				Viet Nam: My Xuyen, Soc Trang
GCF_051125205.1	Paraburkholderia sp. A1BS-2L	soil	env_medium=top soil				Viet Nam: My Xuyen, Soc Trang
GCF_051125215.1	Paraburkholderia sp. A3BS-1L	soil	env_medium=top soil				Viet Nam: My Xuyen, Soc Trang
GCF_051125545.1	Paraburkholderia sp. A2RO-4L	soil	env_medium=top soil				Viet Nam: My Xuyen, Soc Trang
GCF_051355645.1	Burkholderia lata	soil	isolation_source=soil		soil		Trinidad and Tobago
GCF_051560065.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens			Australia: Queensland
GCF_051560085.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens			Australia: Queensland
GCF_051560105.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens			Australia: Queensland
GCF_051560125.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens			Australia: Queensland
GCF_051560145.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens			Australia: Queensland
GCF_051615025.1	Caballeronia sp. DA-9	water	isolation_source=seawater from weddell sea		seawater from Weddell Sea		Antarctica
GCF_052222725.1	Burkholderia gladioli	soil	host=soil	soil			China: Dali City
GCF_052854005.1	Burkholderia pseudomallei	soil	isolation_source=enviroment (soil)		enviroment (soil)		Viet Nam
GCF_052854015.1	Burkholderia pseudomallei	soil	isolation_source=enviroment (soil)		enviroment (soil)		Viet Nam
GCF_052854305.1	Burkholderia pseudomallei	soil	isolation_source=enviroment (soil)		enviroment (soil)		Viet Nam
GCF_052854315.1	Burkholderia pseudomallei	soil	isolation_source=enviroment (soil)		enviroment (soil)		Viet Nam
GCF_052854605.1	Burkholderia pseudomallei	soil	isolation_source=enviroment (soil)		enviroment (soil)		Viet Nam
GCF_052854615.1	Burkholderia pseudomallei	soil	isolation_source=enviroment (soil)		enviroment (soil)		Viet Nam
GCF_052854885.1	Burkholderia pseudomallei	soil	isolation_source=enviroment (soil)		enviroment (soil)		Viet Nam
GCF_052854895.1	Burkholderia pseudomallei	soil	isolation_source=enviroment (soil)		enviroment (soil)		Viet Nam
GCF_052855305.1	Burkholderia pseudomallei	soil	isolation_source=enviroment (soil)		enviroment (soil)		Viet Nam
GCF_052855315.1	Burkholderia pseudomallei	soil	isolation_source=enviroment (soil)		enviroment (soil)		Viet Nam
GCF_052855605.1	Burkholderia pseudomallei	soil	isolation_source=enviroment (soil)		enviroment (soil)		Viet Nam
GCF_052855615.1	Burkholderia pseudomallei	soil	isolation_source=enviroment (soil)		enviroment (soil)		Viet Nam
GCF_052855985.1	Burkholderia pseudomallei	soil	isolation_source=enviroment (soil)		enviroment (soil)		Viet Nam
GCF_052856205.1	Burkholderia pseudomallei	soil	isolation_source=enviroment (soil)		enviroment (soil)		Viet Nam
GCF_052857015.1	Burkholderia pseudomallei	soil	isolation_source=enviroment (soil)		enviroment (soil)		Viet Nam
GCF_052857225.1	Burkholderia pseudomallei	soil	isolation_source=enviroment (soil)		enviroment (soil)		Viet Nam
GCF_052857935.1	Burkholderia pseudomallei	soil	isolation_source=enviroment (soil)		enviroment (soil)		Viet Nam
GCF_052858145.1	Burkholderia pseudomallei	soil	isolation_source=enviroment (soil)		enviroment (soil)		Viet Nam
GCF_052858685.1	Burkholderia pseudomallei	soil	isolation_source=enviroment (soil)		enviroment (soil)		Viet Nam
GCF_052858755.1	Burkholderia pseudomallei	soil	isolation_source=enviroment (soil)		enviroment (soil)		Viet Nam
GCF_053038975.1	Burkholderia sola	human_clinical	host=homo sapiens	Homo sapiens	blood	not collected	USA: Pittsburgh
GCF_053153985.1	Burkholderia vietnamiensis	human_clinical	host=homo sapiens	Homo sapiens	blood		China: Haikou
GCF_053209605.1	Burkholderia sola	human_clinical	host=homo sapiens	Homo sapiens	sputum	not collected	USA: Pittsburgh
GCF_053348855.1	Burkholderia metallica	plant	host=glycine max	Glycine max			USA: North Eastern Illinois
GCF_053470105.1	Burkholderia gladioli	plant	isolation_source=rice		rice		China:Hangzhou
GCF_053470145.1	Burkholderia gladioli	plant	isolation_source=rice		rice		China:Hangzhou
GCF_053760385.1	Caballeronia sp. KNU42	soil	isolation_source=phosphoric acid, potassium 40 years long-lasting soil		Phosphoric acid, potassium 40 years long-lasting soil		South Korea: Daegu
GCF_054073385.1	Burkholderia pyrrocinia	soil	isolation_source=korean agricultural soil		Korean agricultural soil		South Korea
GCF_054073395.1	Burkholderia pyrrocinia	soil	isolation_source=korean agricultural soil		korean agricultural soil		South Korea
GCF_054166125.1	Paraburkholderia strydomiana	soil	isolation_source=agricultural field soil		Agricultural Field Soil		Canada: Manitoba Carman
GCF_054166145.1	Paraburkholderia strydomiana	soil	isolation_source=agricultural field soil		Agricultural Field Soil		Canada: Manitoba Carman
GCF_054166155.1	Paraburkholderia strydomiana	soil	isolation_source=agricultural field soil		Agricultural Field Soil		Canada: Manitoba Carman
GCF_054166185.1	Burkholderia ambifaria	soil	isolation_source=agricultural field soil		Agricultural Field Soil		Canada: Manitoba Carman
GCF_054166195.1	Paraburkholderia graminis	soil	isolation_source=agricultural field soil		Agricultural Field Soil		Canada: Manitoba Carman
GCF_054166225.1	Paraburkholderia strydomiana	soil	isolation_source=agricultural field soil		Agricultural Field Soil		Canada: Manitoba Carman
GCF_054166245.1	Paraburkholderia strydomiana	soil	isolation_source=agricultural field soil		Agricultural Field Soil		Canada: Manitoba Carman
GCF_054166265.1	Paraburkholderia strydomiana	soil	isolation_source=agricultural field soil		Agricultural Field Soil		Canada: Manitoba Carman
GCF_054187845.1	Burkholderia gladioli	plant	isolation_source=rice seedling		Rice seedling		-
GCF_054558305.1	Burkholderia contaminans	industrial	env_broad=food-associated environment	not applicable	natural cheese		USA
GCF_054955335.1	Burkholderia contaminans	plant	host=oryza sativa	Oryza sativa	Seed of traditional rice cultivar Malshira		Bangladesh: Gazipur, Gazipur Agricultural University
GCF_055386035.1	Burkholderia gladioli	plant	host=oryza sativa	Oryza sativa			Japan:Ibaraki, Tsukuba
GCF_055387925.1	Burkholderia mallei	human_clinical	host=homo sapiens	Homo sapiens	missing	Glanders	USA
GCF_055391905.1	Paraburkholderia monticola	unknown	no usable metadata		roots of Arabidopsis thaliana		Japan:Nara, Ikoma
GCF_055397325.1	Paraburkholderia largidicola	insect	host=physopelta gutta	Physopelta gutta	Midgut crypts of sting bug Physopelta gutta		Japan:Okinawa, Nago
GCF_055397665.1	Burkholderia mallei	animal	host=equus caballus	Equus caballus	liver abscess	Glanders	Mongolia:Ulanbaatar
GCF_055397955.1	Burkholderia gladioli	plant	host=freesia	Freesia			Japan:Chiba
GCF_055810255.1	Burkholderia thailandensis	human_clinical	host=homo sapiens	Homo sapiens			China:ChongQing
GCF_056270685.1	Paraburkholderia sp. PAMB 6768	plant	host=nepenthes alata	Nepenthes alata			South Korea
GCF_056591095.1	Paraburkholderia terricola	soil	isolation_source=soil		soil		South Korea
GCF_056640905.1	Burkholderia pyrrocinia	soil	isolation_source=soil		soil		China: Chongqing
GCF_056783395.1	Burkholderia pyrrocinia	plant	host=fern	Fern	rhizosphere soil		China: Guizhou
GCF_056847505.1	Mycetohabitans endofungorum	fungus	host=rhizopus arrhizus	Rhizopus arrhizus	corn		USA: Nebraska
GCF_056867595.1	Mycetohabitans rhizoxinica	fungus	host=rhizopus microsporus var. microsporus van. tieghem	Rhizopus microsporus var. microsporus van. Tieghem	Rice Seedlings		Japan
GCF_056868365.1	Mycetohabitans rhizoxinica	fungus	host=rhizopus microsporus	Rhizopus microsporus	corn		USA
GCF_056868375.1	Mycetohabitans rhizoxinica	fungus	host=rhizopus arrhizus	Rhizopus arrhizus	Hospital Mattress		USA: Ohio
GCF_056880615.1	Mycetohabitans rhizoxinica	fungus	host=rhizopus microsporus var oligosporus	Rhizopus microsporus var oligosporus	tempeh		Indonesia
GCF_057005415.2	Burkholderia sp. KL41	soil	isolation_source=soil; accession updated GCF_057005415.1 -> GCF_057005415.2 (same BioSample)		soil		South Korea: Changwon
GCF_057369595.1	Burkholderia cepacia complex sp. TUM26381	human_clinical	host=homo sapiens	Homo sapiens	missing		Japan: Fukui
GCF_057439935.1	Burkholderia cepacia complex sp. TUM26381	human_clinical	host=homo sapiens	Homo sapiens	blood		Japan
GCF_057587595.1	Paraburkholderia sp. PAMB 6768	plant	host=nepenthes alata	Nepenthes alata			Korea
GCF_057612605.2	Caballeronia sp. A2-2	plant	isolation_source=rice paddy soil	not applicable	rice paddy soil		South Korea: Gyeongsangnam-do
GCF_057748135.1	Paraburkholderia sp. PAMB 6770	plant	host=nepenthes alata	Nepenthes alata			South Korea
GCF_058448765.1	Burkholderia gladioli	plant	isolation_source=plant	Cyperus sp.	plant		Viet Nam: HoChiMinh City
GCF_059089405.1	Burkholderia pyrrocinia	soil	isolation_source=korean agricultural soil		Korean agricultural soil		South Korea
GCF_059622985.1	Paraburkholderia agricolaris	amoeba_protist	host=dictyostelium discoideum	Dictyostelium discoideum			USA: Virginia
GCF_902141795.1	Burkholderia pseudomallei	unknown	no usable metadata				
GCF_902141815.1	Burkholderia pseudomallei	unknown	no usable metadata				
GCF_902141835.1	Burkholderia pseudomallei	unknown	no usable metadata				
GCF_902459535.1	Paraburkholderia dioscoreae	plant	env_medium=leaf				Austria
GCF_904865725.1	Burkholderia cepacia	human_clinical	host=homo sapiens	Homo sapiens	catheter tip		Australia
GCF_905400185.1	Burkholderia sola	rhizosphere	isolation_source=maize rhizosphere		Maize rhizosphere		Italy
GCF_939576165.1	Burkholderia mallei	unknown	no usable metadata				not collected
GCF_964026365.1	Caballeronia sp. S22	unknown	no usable metadata				Australia
GCF_964261745.1	Caballeronia sp. S22	unknown	no usable metadata				Australia
GCF_964264985.1	Burkholderia mycopellens	human_clinical	isolation_source=cystic fibrosis patient		Cystic fibrosis patient		United Kingdom
GCF_964264995.1	Burkholderia crassaminum	soil	isolation_source=soil		soil		USA
GCF_964265005.1	Burkholderia crassaminum	water	isolation_source=river water		river water		USA
GCF_964265015.1	Burkholderia crassaminum	soil	isolation_source=freshwater sediment		Freshwater sediment		USA
GCF_964265025.1	Burkholderia mycopellens	environmental_other	isolation_source=environmental		environmental		USA
GCF_965118185.1	Paraburkholderia kururiensis	rhizosphere	isolation_source=rhizosphere of oryza sativa		Rhizosphere of Oryza sativa		Senegal
GCF_965199385.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	Digestive abscess		New Caledonia
GCF_965199395.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	Blood culture		New Caledonia
GCF_965199405.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	Blood culture		New Caledonia
GCF_965199425.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	Blood culture		New Caledonia
GCF_965199435.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	urine		New Caledonia
GCF_965199445.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	Blood culture		New Caledonia
GCF_965199455.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	urine		New Caledonia
GCF_965199515.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	Medistinal lymph node		New Caledonia
GCF_965199545.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	Lung biopsy		New Caledonia
GCF_965199625.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	Abcess		New Caledonia
GCF_965199835.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	Blood culture		New Caledonia
GCF_965199925.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	Blood culture		New Caledonia
GCF_965201125.1	Burkholderia pseudomallei	human_clinical	isolation_source=bronchoalveolar lavage	Cat	bronchoalveolar lavage		New Caledonia
GCF_965202565.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	Blood culture		New Caledonia
GCF_965211575.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	Blood culture		New Caledonia
GCF_965211595.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	Blood culture		New Caledonia
GCF_980295165.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	blood		Thailand
GCF_980300355.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	blood		Thailand
GCF_980300905.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	blood		Madagascar
GCF_980300945.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	blood		Madagascar
GCF_980300965.1	Burkholderia pseudomallei	human_clinical	host=homo sapiens	Homo sapiens	blood		Thailand
